brand_name,category,homepage_url,event_url,confidence,priority
맥도날드,식품,https://www.mcdonalds.co.kr,https://www.mcdonalds.co.kr/kor/promotion/list,high,1차
맥심,식품,https://www.maximcoffee.co.kr,https://www.maximcoffee.co.kr/event,high,1차
배달의민족,식품,https://www.baemin.com,https://www.baemin.com/event,medium,1차
배스킨라빈스,식품,https://www.baskinrobbins.co.kr,https://www.baskinrobbins.co.kr/play/event/list.php,high,1차
버거킹,식품,https://www.burgerking.co.kr,https://www.burgerking.co.kr/event/ongoing,high,1차
불닭볶음면,식품,https://www.samyangfoods.com,https://www.samyangfoods.com/kor/publicity/event/index.do,high,1차
서울우유,식품,https://www.seoulmilk.co.kr,https://www.seoulmilk.co.kr/enterprise/event/tv_cf.sm,high,1차
세븐일레븐,식품,https://www.7-eleven.co.kr,https://m.7-eleven.co.kr/product/eventList.asp,high,1차
스타벅스,식품,https://www.starbucks.co.kr,https://www.starbucks.co.kr/msr/msreward/level_benefit.do,high,1차
신라면,식품,https://www.nongshim.com,https://www.nongshim.com/promotion/event/progress,high,1차
써브웨이,식품,https://www.subway.co.kr,https://www.subway.co.kr/eventList,high,1차
오뚜기,식품,https://www.ottogi.co.kr,https://www.otoki.com/brand/event,high,1차
요기요,식품,https://www.yogiyo.co.kr,https://www.yogiyo.co.kr/mobile/event,medium,1차
이디야커피,식품,https://www.ediya.com,https://www.ediya.com/contents/event.html?tb_name=event,high,1차
컴포즈커피,식품,https://composecoffee.com,https://composecoffee.com/event,high,1차
투썸플레이스,식품,https://www.twosome.co.kr,https://www.twosome.co.kr/mo/twMobileGrade.do,high,1차
파리바게뜨,식품,https://www.paris.co.kr,https://www.paris.co.kr/promotion/pb-lafc-event/,high,1차
풀무원,식품,https://www.pulmuone.co.kr,https://stibee.com/api/v1.0/emails/share/iK60ds1QSaQ3rfFe31YXHQp0lJTnRO8,high,1차
하림,식품,https://www.harim.com,https://www.harim.com/main/?menu=57,high,1차
29CM,패션,https://www.29cm.co.kr,https://www.29cm.co.kr/store/event,high,1차
H&M,패션,https://www2.hm.com/ko_kr,https://www2.hm.com/ko_kr/sale.html,high,1차
PXG,패션,https://www.pxg.co.kr,https://www.pxg.co.kr/promotion/251203/lightning.asp,high,1차
나이키,패션,https://www.nike.com/kr,https://www.nike.com/kr/w/37eefz7yfb,medium,1차
네파,패션,https://www.nepa.co.kr,https://www.nplus.co.kr/promotion/list.asp,high,1차
뉴발란스,패션,https://www.nbkorea.com,https://www.nbkorea.com/nbnyou/searchEventList.action,high,1차
데상트,패션,https://www.descentekorea.co.kr,https://dk-on.com/event,high,1차
빈폴,패션,https://www.ssfshop.com/beanpole,https://www.ssfshop.com/special/list?promtFlterBrndId=BPBR,high,1차
시스템,패션,https://www.thehandsome.com/system,https://www.thehandsome.com/ko/MK/event,high,1차
아디다스,패션,https://www.adidas.co.kr,https://www.adidas.co.kr/flashsale,high,1차
안다르,패션,https://andar.co.kr,https://andar.co.kr/product/list.html?cate_no=2028,high,1차
유니클로,패션,https://www.uniqlo.com/kr,https://www.uniqlo.com/kr/ko/spl/limited-offers,high,1차
젝시믹스,패션,https://www.xexymix.com,https://www.xexymix.com/board/board.html?code=xexymix_image3,high,1차
지오다노,패션,https://www.giordano.co.kr,https://www.giordano.co.kr/shop/big_section.php?cno1=2673,high,1차
칸투칸,패션,https://www.kantukan.co.kr,https://www.kantukan.co.kr/board/gallery/list.html?board_no=8,high,1차
타이틀리스트,패션,https://www.titleist.co.kr,https://www.titleist.co.kr/2026-custom-promotion,high,1차
타임,패션,https://www.thehandsome.com/time,https://www.thehandsome.com/ko/MK/event,high,1차
휠라,패션,https://www.fila.co.kr,https://www.fila.co.kr/event/view.asp?seq=1335,high,1차
안국건강,건강,https://www.shopagh.com,https://www.shopagh.com/goods/event_sale.php?sno=351,high,2차
종근당건강,건강,https://www.ckdhc.com,https://www.ckdpharm.com/promotion/newsList.do,high,2차
KB국민은행,금융,https://www.kbstar.com,https://omoney.kbstar.com/quics?page=oevent&QSL=F,high,2차
KB국민카드,금융,https://www.kbcard.com,https://card.kbcard.com/MKB/DVIEW/HMBMCXPRIMYC0009,high,2차
KB손해보험,금융,https://www.kbinsure.co.kr,http://direct.kbinsure.co.kr/websquare/promotion.jsp?pid=1090036&code=0002&page=index,high,2차
KB증권,금융,https://www.kbsec.com,https://www.kbsec.com/go.able?linkcd=m01010025,high,2차
대신증권,금융,https://www.daishin.com,https://www.daishin.com/g.ds?m=1109&p=12931&v=12831,high,2차
비씨카드,금융,https://www.bccard.com,https://www.bccard.com/app/card/EvntBnftSubMainActn.do,high,2차
빗썸,금융,https://www.bithumb.com,https://www.bithumb.com/react/event/trade_ranking,high,2차
삼성카드,금융,https://www.samsungcard.com,https://www.samsungcard.com/personal/event/ing/UHPPBE1401M0.jsp?click=gnb_benefit_event,high,2차
신한카드,금융,https://www.shinhancard.com,https://www.shinhancard.com/mob/MOBFM026N/MOBFM026C01.shc,high,2차
업비트,금융,https://upbit.com,https://upbit.com/apps,high,2차
유안타증권,금융,https://www.myasset.com,https://www.myasset.com/myasset/hello/event/CU_0203000_T1.cmd,high,2차
카카오뱅크,금융,https://www.kakaobank.com,https://www.kakaobank.com/view/report/schedule/events,high,2차
한화손해보험,금융,https://www.hwgeneralins.com,https://www.hwgeneralins.com/intro/promotion/pds-list.do,high,2차
닌텐도,디지털,https://www.nintendo.co.kr,https://www.nintendo.com/kr/event/NBR1j5xACp/,high,2차
삼성 갤럭시,디지털,https://www.samsung.com/sec/smartphones,https://www.samsung.com/sec/eventList/benefitzone/,high,2차
소니,디지털,https://www.sony.co.kr,https://www.sony.co.kr/headphones/products/wh-1000xm6?cpint=homepage_primary_tout-Primary%20Tout-en_GL-responsivegrid_structure_top_primarytout_copy_1&cpint=homepage_promotion_tiles-Promotion%20Tiles-en_GL-responsivegrid_structure_top_promotiontiles_copy_1,high,2차
왓챠,디지털,https://watcha.com,https://watcha.com/ko-KR/promotions/watchapromotion2026,high,2차
카카오,디지털,https://www.kakaocorp.com,https://www.kakaocorp.com/page/service/tech?tab=tech_event,high,2차
티빙,디지털,https://www.tving.com,https://www.tving.com/event/list?movePage=/event/list,high,2차
CGV,문화,https://www.cgv.co.kr,https://cgv.co.kr/evt/discountInformation,high,2차
롯데시네마,문화,https://www.lottecinema.co.kr,https://www.lottecinema.co.kr/NLCHS/Ticketing/DiscountGuide,medium,2차
리디북스,문화,https://ridibooks.com,https://ridibooks.com/event/webtoon,high,2차
메가박스,문화,https://www.megabox.co.kr,https://www.megabox.co.kr/event,high,2차
멜론티켓,문화,https://ticket.melon.com,https://ticket.melon.com/main/index.htm,high,2차
밀리의 서재,문화,https://www.millie.co.kr,https://www.millie.co.kr/v4/event/z195a474s6h6234l?nav_hidden=y,high,2차
알라딘,문화,https://www.aladin.co.kr,https://www.aladin.co.kr/events/wevent_main.aspx?start=we,high,2차
윌라,문화,https://www.welaaa.com,https://www.welaaa.com/membership,high,2차
티빙,문화,https://www.tving.com,https://www.tving.com/event/list?movePage=/event/list,high,2차
바잇미,반려동물,https://www.biteme.co.kr,https://www.biteme.co.kr/shop/event/event_view?no=2685&allow=Y,high,2차
베베쿡 펫,반려동물,https://www.bebecook.com,https://www.bebecook.com/page/event,high,2차
이나바 챠오츄르,반려동물,https://www.inaba-petfood.co.jp,https://www.inaba-petfood.co.jp/company/event.html,high,2차
펫프렌즈,반려동물,https://www.pet-friends.co.kr,https://m.pet-friends.co.kr/main/events,high,2차
핏펫,반려동물,https://www.fitpetmall.com,https://www.fitpetmall.com/?eventsale_location=topmenu,high,2차
하림펫푸드,반려동물,https://www.harimpetfood.com,https://harimpetfood-event.com/,high,2차
