brand_name,category,homepage_url,event_url,confidence
"라보에이치","뷰티","https://www.laboh.co.kr","https://www.laboh.co.kr/board/gallery/list.html?board_no=8&category_no=1","high"
"맥(MAC)","뷰티","https://www.maccosmetics.co.kr","https://www.maccosmetics.co.kr/mac-lover","high"
"아누아","뷰티","https://anua.kr","https://anua.kr/board/membership.html","high"
"에스쁘아","뷰티","https://www.espoir.com","https://www.espoir.com/ko/event/event_list.do","high"
"입생로랑 뷰티","뷰티","https://www.yslbeautykr.com","https://www.yslbeautykr.com/ko_KR/NGL_monthlybenefit.html","high"
"KFC코리아","식품/배달","https://www.kfckorea.com","https://www.kfckorea.com/promotion/promotionList/A801","high"
"굽네치킨","식품/배달","https://www.goobne.co.kr","https://www.goobne.co.kr/brd/event/list_p","high"
"롯데웰푸드","식품/배달","https://www.lottewellfood.com","https://www.lottewellfood.com/prcenter/event","high"
"버거킹코리아","식품/배달","https://www.burgerking.co.kr","https://www.burgerking.co.kr/event/ongoing","high"
"빽다방","식품/배달","https://paikdabang.com","https://paikdabang.com/news/?cate=event","high"
"써브웨이","식품/배달","https://www.subway.co.kr","https://www.subway.co.kr/eventList","high"
"크리스피크림","식품/배달","https://www.krispykreme.co.kr","https://www.lotteeatz.com/event/main","high"
"피자헛","식품/배달","https://www.pizzahut.co.kr","https://www.pizzahut.co.kr/#","high"
"할리스","식품/배달","https://www.hollys.co.kr","https://www.hollys.co.kr/news/event/list.do","high"
"LX지인","생활/리빙","https://www.lxzin.com","https://www.lxzin.com/zin/event/event/","high"
"밀레코리아","생활/리빙","https://www.miele.co.kr","https://www.miele.co.kr/domestic/news-and-events-20.htm","high"
"셀리턴","생활/리빙","https://www.cellreturnmall.co.kr","https://www.cellreturnmall.co.kr/board/gallery/list.html?board_no=8&category_no=1","high"
"그린카","여행/레저","https://www.greencar.co.kr","https://www.greencar.co.kr/event/event-tab","high"
"롯데리조트","여행/레저","https://www.lotteresort.com","https://www.lotteresort.com/main/ko/package-event/eventMgt/list","high"
"쏘카","여행/레저","https://www.socar.kr","https://www.socar.kr/benefit","high"
"야놀자","여행/레저","https://www.yanolja.com","https://nol.yanolja.com/event","high"
"에어프레미아","여행/레저","https://www.airpremia.com","https://www.airpremia.com/event/promotionList","high"
"참좋은여행","여행/레저","https://www.verygoodtour.com","https://www.verygoodtour.com/Event/EventCommonPlan?evtseq=15114&menuCode=107","high"
"한화리조트","여행/레저","https://www.hanwharesort.co.kr","https://www.hanwharesort.co.kr/irsweb/resort3/event/event_list.do","high"
"디스커버리","패션","https://www.discovery-expedition.com","https://www.discovery-expedition.com/display/promotions/event/1531","high"
"리복코리아","패션","https://www.reebok.co.kr","https://www.reebok.co.kr/goods/event_sale.php?sno=289","high"
"마시모두띠","패션","https://www.massimodutti.com/kr","https://www.massimodutti.com/kr/women/events-kr-n2485","high"
"무신사","패션","https://www.musinsa.com","https://www.musinsa.com/events/raffle?utm_source=/main/musinsa/recommend&utm_medium=main_display_big_banner&utm_campaign=20","high"
"브랜디","패션","https://www.brandi.co.kr","https://www.brandi.co.kr/event","high"
"아디다스코리아","패션","https://www.adidas.co.kr","https://www.adidas.co.kr/flashsale","high"
"지그재그","패션","https://www.zigzag.kr","https://zigzag.kr/events/89a49d8c-7cff-4044-812a-9908390ca03f","high"
"컨버스코리아","패션","https://www.converse.co.kr","https://www.converse.co.kr/category/sale/75/","high"
"코오롱스포츠","패션","https://www.kolonsport.com","https://www.kolonsport.com/Event/Membership","high"
